nombre,tags,paso_actual,propuesta_paso_a_paso
Clover Club,"citrico, clasico, cremoso, gin","1) Agregar Gin, Granadina, Limon y Clara de huevo a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en copa de coctel.","1) Agregar Gin, Granadina, Limon y Clara de huevo a una coctelera
2) Agregar hielo a gusto y agitar
3) Colar y servir en copa de coctel"
Coffee Liqueur,"cafe, clasico","1) Agregar Cafe, Azucar, Vodka y Agua a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en vaso collins.
4) Decorar con Extracto de vainilla.","1) Agregar Cafe, Extracto de vainilla, Azucar, Vodka y Agua a una coctelera
2) Agregar hielo a gusto y agitar
3) Colar y servir en vaso collins"
Coffee-Vodka,"cafe, clasico","1) Agregar Agua, Azucar, Cafe y Vodka a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en vaso collins.
4) Decorar con Vainilla y Caramel coloring.","1) Agregar Agua, Azucar, Cafe, Vainilla, Vodka y Caramel coloring a una coctelera
2) Agregar hielo a gusto y agitar
3) Colar y servir en vaso collins"
Coke and Drops,"citrico, clasico, refrescante","1) Llenar copa de coctel con hielo.
2) Agregar Jugo de limon.
3) Completar con Coca-Cola y mezclar suavemente.","1) Agregar Coca-Cola y Jugo de limon a una coctelera
2) Agregar hielo a gusto y agitar
3) Colar y servir en copa de coctel"
Cola de mono,"cafe, chileno, clasico, cremoso, navidad, pisco","1) Agregar Leche, Pisco, Azucar y Cafe a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en vaso bajo.
4) Decorar con Clavos de olor, Canela, Pimienta de Jamaica, Cardamomo, Anis estrellado y Nuez moscada.","1) Agregar Leche, Pisco, Azucar, Cafe, Clavos de olor, Canela, Pimienta de Jamaica, Cardamomo, Anis estrellado y Nuez moscada a una coctelera
2) Agregar hielo a gusto y agitar
3) Colar y servir en vaso bajo"
Corn n Oil,"amargo, citrico, clasico","1) Agregar Lima, Falernum, Amargo de angostura, Ron añejo y Ron blackstrap a un vaso mezclador.
2) Agregar hielo a gusto y revolver hasta enfriar bien.
3) Colar y servir en vaso old fashioned bien frio.","1) Agregar Lima, Falernum, Amargo de angostura, Ron añejo y Ron blackstrap a un vaso mezclador
2) Agregar hielo a gusto y revolver hasta enfriar bien
3) Colar y servir en vaso old fashioned"
Corpse Reviver,"citrico, clasico, gin","1) Agregar Gin, Triple sec, Lillet Blanc, Jugo de limon y Absenta a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en copa de coctel.","1) Agregar Gin, Triple sec, Lillet Blanc, Jugo de limon y Absenta a una coctelera
2) Agregar hielo a gusto y agitar
3) Colar y servir en copa de coctel"
Corpse Reviver #2,"citrico, clasico, gin, ingles","1) Agregar Gin, Lillet Blanc, Cointreau, Jugo de limon y Absenta a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en copa coupe.","1) Agregar Gin, Lillet Blanc, Cointreau, Jugo de limon y Absenta a una coctelera
2) Agregar hielo a gusto y agitar
3) Colar y servir en copa coupe"
Cosmopolitan,"citrico, clasico","1) Agregar Vodka, Jugo de lima, Cointreau y Jugo de arandano a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en copa de coctel.","1) Agregar Vodka, Jugo de lima, Cointreau y Jugo de arandano a una coctelera
2) Agregar hielo a gusto y agitar
3) Colar y servir en copa de coctel"
Cranberry Punch,"citrico, clasico, gin, refrescante","1) Llenar punch bowl con hielo.
2) Agregar Jugo de arandano, Azucar y Jugo de piña.
3) Completar con Ginger ale y mezclar suavemente.
4) Decorar con Almond flavoring.","1) Agregar Jugo de arandano, Azucar, Jugo de piña, Almond flavoring y Ginger ale a una coctelera
2) Agregar hielo a gusto y agitar
3) Colar y servir en punch bowl"
Cream Soda,"clasico, gin","1) Llenar vaso highball con hielo.
2) Agregar Ron especiado.
3) Completar con Ginger ale y mezclar suavemente.","1) Agregar Ron especiado y Ginger ale a una coctelera
2) Agregar hielo a gusto y agitar
3) Colar y servir en vaso highball"
Cuba Libra,"citrico, clasico","1) Llenar vaso highball con hielo.
2) Agregar Ron oscuro y Lima.
3) Completar con Coca-Cola y mezclar suavemente.","1) Agregar Ron oscuro, Lima, Coca-Cola y Hielo a una coctelera
2) Agregar hielo a gusto y agitar
3) Colar y servir en vaso highball"
Cuba Libre,"citrico, clasico","1) Llenar vaso collins con hielo.
2) Agregar Ron claro y Lima.
3) Completar con Coca-Cola y mezclar suavemente.","1) Agregar Ron claro, Lima y Coca-Cola a una coctelera
2) Agregar hielo a gusto y agitar
3) Colar y servir en vaso collins"
Daiquiri,"citrico, clasico","1) Agregar Ron claro, Lima y Azucar flor a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en copa de coctel.","1) Agregar Ron claro, Lima y Azucar flor a una coctelera
2) Agregar hielo a gusto y agitar
3) Colar y servir en copa de coctel"
Damned if you do,clasico,"1) Agregar Whisky y Fireball a un vaso mezclador.
2) Agregar hielo a gusto y revolver hasta enfriar bien.
3) Colar y servir en vaso de shot bien frio.","1) Agregar Whisky y Fireball a un vaso mezclador
2) Agregar hielo a gusto y revolver hasta enfriar bien
3) Colar y servir en vaso de shot"
Danbooka,"cafe, clasico","1) Agregar Cafe y Everclear a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en taza.","1) Agregar Cafe y Everclear a una coctelera
2) Agregar hielo a gusto y agitar
3) Colar y servir en taza"
Dark and Stormy,clasico,"1) Llenar vaso highball con hielo.
2) Agregar Ron oscuro.
3) Completar con Cerveza de jengibre y mezclar suavemente.","1) Agregar Ron oscuro y Cerveza de jengibre a una coctelera
2) Agregar hielo a gusto y agitar
3) Colar y servir en vaso highball"
Dark Caipirinha,"citrico, clasico","1) Agregar Azucar rubia y Cachaca a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en vaso old fashioned.
4) Decorar con Lima.","1) Agregar Azucar rubia, Lima y Cachaca a una coctelera
2) Agregar hielo a gusto y agitar
3) Colar y servir en vaso old fashioned"
Darkwood Sling,"citrico, clasico","1) Llenar copa de coctel con hielo.
2) Agregar Cherry Heering y Jugo de naranja.
3) Completar con Agua con gas y mezclar suavemente.","1) Agregar Cherry Heering, Agua con gas, Jugo de naranja y Hielo a una coctelera
2) Agregar hielo a gusto y agitar
3) Colar y servir en copa de coctel"
Death in the Afternoon,"clasico, espumante","1) Agregar Absenta y Champagne a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en copa margarita.","1) Agregar Absenta y Champagne a una coctelera
2) Agregar hielo a gusto y agitar
3) Colar y servir en copa margarita"
Derby,"clasico, gin","1) Agregar Gin, Amargo de durazno y Menta a un vaso mezclador.
2) Agregar hielo a gusto y revolver hasta enfriar bien.
3) Colar y servir en copa de coctel bien frio.","1) Agregar Gin, Amargo de durazno y Menta a un vaso mezclador
2) Agregar hielo a gusto y revolver hasta enfriar bien
3) Colar y servir en copa de coctel"
Diamante,"bar-top-chile, chileno-autor, clasico, gin, jerez, siam-thai, top-bars, vino","1) Agregar Gin, Fino, Soju de ciruela, Yuzu y Vermut a un vaso mezclador.
2) Agregar hielo a gusto y revolver hasta enfriar bien.
3) Colar y servir en copa coupe bien frio.","1) Agregar Gin, Fino, Soju de ciruela, Yuzu y Vermut a un vaso mezclador
2) Agregar hielo a gusto y revolver hasta enfriar bien
3) Colar y servir en copa coupe"
Diesel,clasico,"1) Agregar Cerveza lager, Sidra y Cordial de grosella negra a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en vaso pinta.","1) Agregar Cerveza lager, Sidra y Cordial de grosella negra a una coctelera
2) Agregar hielo a gusto y agitar
3) Colar y servir en vaso pinta"
Dirty Martini,"citrico, clasico, martini","1) Agregar Vodka y Vermut seco a un vaso mezclador.
2) Agregar hielo a gusto y revolver hasta enfriar bien.
3) Colar y servir en copa de coctel bien frio.
4) Decorar con Salmuera de aceituna, Limon y Aceituna.","1) Agregar Vodka, Vermut seco, Salmuera de aceituna, Limon y Aceituna a un vaso mezclador
2) Agregar hielo a gusto y revolver hasta enfriar bien
3) Colar y servir en copa de coctel"
Dirty Nipple,clasico,"1) Agregar Kahlua, Sambuca y Baileys crema irlandesa a un vaso mezclador.
2) Agregar hielo a gusto y revolver hasta enfriar bien.
3) Colar y servir en vaso de shot bien frio.","1) Agregar Kahlua, Sambuca y Baileys crema irlandesa a un vaso mezclador
2) Agregar hielo a gusto y revolver hasta enfriar bien
3) Colar y servir en vaso de shot"
Division Bell,"citrico, last-word-family, mezcal, moderno, top-bars","1) Agregar Mezcal, Aperol, Licor de maraschino y Jugo de lima a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en copa coupe.","1) Agregar Mezcal, Aperol, Licor de maraschino y Jugo de lima a una coctelera
2) Agregar hielo a gusto y agitar
3) Colar y servir en copa coupe"
Downshift,"clasico, tequila","1) Agregar Ponche de frutas, Sprite, Tequila y Ron 151 grados a un vaso mezclador.
2) Agregar hielo a gusto y revolver hasta enfriar bien.
3) Colar y servir en copa hurricane bien frio.","1) Agregar Ponche de frutas, Sprite, Tequila y Ron 151 grados a un vaso mezclador
2) Agregar hielo a gusto y revolver hasta enfriar bien
3) Colar y servir en copa hurricane"
Dragonfly,"citrico, clasico, gin","1) Llenar vaso highball con hielo.
2) Agregar Gin.
3) Completar con Ginger ale y mezclar suavemente.
4) Decorar con Lima.","1) Agregar Gin, Ginger ale y Lima a una coctelera
2) Agregar hielo a gusto y agitar
3) Colar y servir en vaso highball"
Drinking Chocolate,"clasico, cremoso, refrescante","1) Agregar Crema espesa, Leche y Crema batida a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en taza.
4) Decorar con Canela, Vainilla y Chocolate.","1) Agregar Crema espesa, Leche, Canela, Vainilla, Chocolate y Crema batida a una coctelera
2) Agregar hielo a gusto y agitar
3) Colar y servir en taza"
Dry Martini,"clasico, gin, martini","1) Agregar Gin y Vermut seco a un vaso mezclador.
2) Agregar hielo a gusto y revolver hasta enfriar bien.
3) Colar y servir en copa de coctel bien frio.
4) Decorar con Aceituna.","1) Agregar Gin, Vermut seco y Aceituna a un vaso mezclador
2) Agregar hielo a gusto y revolver hasta enfriar bien
3) Colar y servir en copa de coctel"
Dry Rob Roy,clasico,"1) Agregar Whisky escoces y Vermut seco a un vaso mezclador.
2) Agregar hielo a gusto y revolver hasta enfriar bien.
3) Colar y servir en copa de coctel bien frio.
4) Decorar con Cascara de limon.","1) Agregar Whisky escoces, Vermut seco y Cascara de limon a un vaso mezclador
2) Agregar hielo a gusto y revolver hasta enfriar bien
3) Colar y servir en copa de coctel"
Dubonnet Cocktail,"amargo, clasico, gin","1) Agregar Dubonnet Rouge, Gin y Amargo de angostura a un vaso mezclador.
2) Agregar hielo a gusto y revolver hasta enfriar bien.
3) Colar y servir en copa de coctel bien frio.
4) Decorar con Cascara de limon.","1) Agregar Dubonnet Rouge, Gin, Amargo de angostura y Cascara de limon a un vaso mezclador
2) Agregar hielo a gusto y revolver hasta enfriar bien
3) Colar y servir en copa de coctel"
Duchamp's Punch,"amargo, citrico, clasico, pisco","1) Agregar Pisco, Jugo de lima, Jarabe de pina, St. Germain, Amargo de angostura y Lavanda a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en vaso old fashioned.
4) Decorar con Pimienta.","1) Agregar Pisco, Jugo de lima, Jarabe de pina, St. Germain, Amargo de angostura, Pimienta y Lavanda a una coctelera
2) Agregar hielo a gusto y agitar
3) Colar y servir en vaso old fashioned"
Eastside,"citrico, estadounidense, gin, moderno, top-bars","1) Agregar Gin, Jugo de lima, Jarabe simple y Pepino a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en copa coupe.
4) Decorar con Menta.","1) Agregar Gin, Jugo de lima, Jarabe simple, Pepino y Menta a una coctelera
2) Agregar hielo a gusto y agitar
3) Colar y servir en copa coupe"
Egg Cream,"clasico, cremoso, refrescante","1) Llenar taza con hielo.
2) Agregar Jarabe de chocolate y Leche.
3) Completar con Agua con gas y mezclar suavemente.","1) Agregar Jarabe de chocolate, Leche y Agua con gas a una coctelera
2) Agregar hielo a gusto y agitar
3) Colar y servir en taza"
Egg Nog #4,"clasico, cremoso","1) Agregar Yema de huevo, Azucar, Leche, Ron claro, Whiskey Bourbon, Crema para batir, Clara de huevo y Azucar a un vaso mezclador.
2) Agregar hielo a gusto y revolver hasta enfriar bien.
3) Colar y servir en ponchera bien frio.
4) Decorar con Extracto de vainilla, Sal y Nuez moscada.","1) Agregar Yema de huevo, Azucar, Leche, Ron claro, Whiskey Bourbon, Extracto de vainilla, Sal, Crema para batir, Clara de huevo, Azucar y Nuez moscada a un vaso mezclador
2) Agregar hielo a gusto y revolver hasta enfriar bien
3) Colar y servir en ponchera"
Egg Nog - Healthy,"clasico, cremoso","1) Agregar Huevo, Azucar, Leche condensada, Leche y Ron a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en vaso collins.
4) Decorar con Extracto de vainilla y Nuez moscada.","1) Agregar Huevo, Azucar, Leche condensada, Leche, Extracto de vainilla, Ron y Nuez moscada a una coctelera
2) Agregar hielo a gusto y agitar
3) Colar y servir en vaso collins"
Egg-Nog - Classic Cooked,"clasico, cremoso","1) Agregar Huevo, Azucar y Leche a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en jarra.
4) Decorar con Sal y Extracto de vainilla.","1) Agregar Huevo, Azucar, Sal, Leche y Extracto de vainilla a una coctelera
2) Agregar hielo a gusto y agitar
3) Colar y servir en jarra"
El Capitan,"amargo, clasico, peruano, pisco, rapido, vino","1) Agregar Pisco, Vermut rojo y Amargo de angostura a un vaso mezclador.
2) Agregar hielo a gusto y revolver hasta enfriar bien.
3) Colar y servir en copa coupe bien frio.
4) Decorar con Naranja.","1) Agregar Pisco, Vermut rojo, Amargo de angostura y Naranja a un vaso mezclador
2) Agregar hielo a gusto y revolver hasta enfriar bien
3) Colar y servir en copa coupe"
Elderflower Caipirinha,"citrico, clasico","1) Agregar Cachaca y Cordial de flor de sauco a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en vaso collins.
4) Decorar con Lima.","1) Agregar Cachaca, Lima y Cordial de flor de sauco a una coctelera
2) Agregar hielo a gusto y agitar
3) Colar y servir en vaso collins"
Empellón Cocina's Fat-Washed Mezcal,"clasico, mezcal","1) Agregar Mezcal, Licor de chocolate y Licor de cafe a un vaso mezclador.
2) Agregar hielo a gusto y revolver hasta enfriar bien.
3) Colar y servir en beer glass bien frio.","1) Agregar Mezcal, Licor de chocolate y Licor de cafe a un vaso mezclador
2) Agregar hielo a gusto y revolver hasta enfriar bien
3) Colar y servir en beer copa"
English Highball,"clasico, gin, vino","1) Llenar vaso highball con hielo.
2) Agregar Brandy, Gin y Vermut dulce.
3) Completar con Agua con gas y mezclar suavemente.
4) Decorar con Cascara de limon.","1) Agregar Brandy, Gin, Vermut dulce, Agua con gas y Cascara de limon a una coctelera
2) Agregar hielo a gusto y agitar
3) Colar y servir en vaso highball"
English Rose Cocktail,"citrico, clasico, gin","1) Agregar Brandy de damasco, Gin, Vermut seco, Granadina y Jugo de limon a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en copa de coctel.
4) Decorar con Cereza marrasquino.","1) Agregar Brandy de damasco, Gin, Vermut seco, Granadina, Jugo de limon y Cereza marrasquino a una coctelera
2) Agregar hielo a gusto y agitar
3) Colar y servir en copa de coctel"
Esmeralda,"aperitivo, bar-top-chile, chileno-autor, clasico, siam-thai, top-bars","1) Llenar vaso alto con hielo.
2) Agregar Ron blanco, Licor de melon y Salmuera de alcaparron.
3) Completar con Soda y mezclar suavemente.
4) Decorar con Gomita de frutas y Albahaca.","1) Agregar Ron blanco, Licor de melon, Salmuera de alcaparron, Soda, Gomita de frutas y Albahaca a una coctelera
2) Agregar hielo a gusto y agitar
3) Colar y servir en vaso alto"
Espresso Martini,"clasico, martini","1) Agregar Vodka, Kahlua y Jarabe simple a un vaso mezclador.
2) Agregar hielo a gusto y revolver hasta enfriar bien.
3) Colar y servir en copa de coctel bien frio.","1) Agregar Vodka, Kahlua y Jarabe simple a un vaso mezclador
2) Agregar hielo a gusto y revolver hasta enfriar bien
3) Colar y servir en copa de coctel"
Espresso Rumtini,"cafe, clasico","1) Agregar Ron, Jarabe de vainilla, Cafe y Cafe a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en copa de coctel.","1) Agregar Ron, Jarabe de vainilla, Cafe y Cafe a una coctelera
2) Agregar hielo a gusto y agitar
3) Colar y servir en copa de coctel"
Fahrenheit 5000,clasico,"1) Agregar Aguardiente y Vodka Pepper a un vaso mezclador.
2) Agregar hielo a gusto y revolver hasta enfriar bien.
3) Colar y servir en vaso de shot bien frio.
4) Decorar con Tabasco sauce.","1) Agregar Aguardiente, Vodka Pepper y Tabasco sauce a un vaso mezclador
2) Agregar hielo a gusto y revolver hasta enfriar bien
3) Colar y servir en vaso de shot"
Fernet con coca,"amargo, argentino, clasico, rapido","1) Llenar vaso highball con hielo.
2) Agregar Fernet.
3) Completar con Coca-Cola y mezclar suavemente.","1) Agregar Fernet, Coca-Cola y Hielo a una coctelera
2) Agregar hielo a gusto y agitar
3) Colar y servir en vaso highball"
Figgy Thyme,"amargo, clasico","1) Llenar vaso collins con hielo.
2) Agregar Vodka, Miel, Higos y Amargo de angostura.
3) Completar con Agua tonica y mezclar suavemente.
4) Decorar con Tomillo.","1) Agregar Vodka, Miel, Higos, Tomillo, Amargo de angostura y Agua tonica a una coctelera
2) Agregar hielo a gusto y agitar
3) Colar y servir en vaso collins"
Final Ward,"citrico, last-word-family, moderno, top-bars","1) Agregar Whisky de centeno, Green Chartreuse, Licor de maraschino y Jugo de limon a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en copa coupe.","1) Agregar Whisky de centeno, Green Chartreuse, Licor de maraschino y Jugo de limon a una coctelera
2) Agregar hielo a gusto y agitar
3) Colar y servir en copa coupe"
Flaming Dr. Pepper,clasico,"1) Agregar Amaretto, Vodka, Ron 151 grados, Dr. Pepper y Cerveza a un vaso mezclador.
2) Agregar hielo a gusto y revolver hasta enfriar bien.
3) Colar y servir en vaso collins bien frio.","1) Agregar Amaretto, Vodka, Ron 151 grados, Dr. Pepper y Cerveza a un vaso mezclador
2) Agregar hielo a gusto y revolver hasta enfriar bien
3) Colar y servir en vaso collins"
Flaming Lamborghini,clasico,"1) Agregar Kahlua, Sambuca, Curacao azul y Baileys crema irlandesa a un vaso mezclador.
2) Agregar hielo a gusto y revolver hasta enfriar bien.
3) Colar y servir en copa de coctel bien frio.","1) Agregar Kahlua, Sambuca, Curacao azul y Baileys crema irlandesa a un vaso mezclador
2) Agregar hielo a gusto y revolver hasta enfriar bien
3) Colar y servir en copa de coctel"
Flander's Flake-Out,clasico,"1) Agregar Sambuca y Sarsaparilla a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en vaso collins.","1) Agregar Sambuca y Sarsaparilla a una coctelera
2) Agregar hielo a gusto y agitar
3) Colar y servir en vaso collins"
Flying Dutchman,"clasico, gin","1) Agregar Gin y Triple sec a un vaso mezclador.
2) Agregar hielo a gusto y revolver hasta enfriar bien.
3) Colar y servir en vaso old fashioned bien frio.","1) Agregar Gin y Triple sec a un vaso mezclador
2) Agregar hielo a gusto y revolver hasta enfriar bien
3) Colar y servir en vaso old fashioned"
Flying Scotchman,"amargo, clasico, vino","1) Agregar Whisky escoces, Vermut dulce, Amargo de angostura y Jarabe simple a un vaso mezclador.
2) Agregar hielo a gusto y revolver hasta enfriar bien.
3) Colar y servir en copa de coctel bien frio.","1) Agregar Whisky escoces, Vermut dulce, Amargo de angostura y Jarabe simple a un vaso mezclador
2) Agregar hielo a gusto y revolver hasta enfriar bien
3) Colar y servir en copa de coctel"
Foxy Lady,clasico,"1) Agregar Amaretto, Crema de cacao y Crema ligera a un vaso mezclador.
2) Agregar hielo a gusto y revolver hasta enfriar bien.
3) Colar y servir en copa de coctel bien frio.","1) Agregar Amaretto, Crema de cacao y Crema ligera a un vaso mezclador
2) Agregar hielo a gusto y revolver hasta enfriar bien
3) Colar y servir en copa de coctel"
Frappé,"cafe, clasico, cremoso, refrescante","1) Agregar Cafe, Leche y Azucar a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en vaso highball.","1) Agregar Cafe, Leche y Azucar a una coctelera
2) Agregar hielo a gusto y agitar
3) Colar y servir en vaso highball"
Freddy Kruger,clasico,"1) Agregar Jägermeister, Sambuca y Vodka a un vaso mezclador.
2) Agregar hielo a gusto y revolver hasta enfriar bien.
3) Colar y servir en vaso de shot bien frio.","1) Agregar Jägermeister, Sambuca y Vodka a un vaso mezclador
2) Agregar hielo a gusto y revolver hasta enfriar bien
3) Colar y servir en vaso de shot"
French 75,"citrico, clasico, espumante, gin","1) Agregar Gin, Azucar y Jugo de limon a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar en vaso collins y completar con Champagne.
4) Decorar con Naranja y Cereza marrasquino.","1) Agregar Gin, Azucar, Jugo de limon, Champagne, Naranja y Cereza marrasquino a una coctelera
2) Agregar hielo a gusto y agitar
3) Colar y servir en vaso collins"
French Connection,clasico,"1) Agregar Cognac y Amaretto a un vaso mezclador.
2) Agregar hielo a gusto y revolver hasta enfriar bien.
3) Colar y servir en vaso old fashioned bien frio.","1) Agregar Cognac y Amaretto a un vaso mezclador
2) Agregar hielo a gusto y revolver hasta enfriar bien
3) Colar y servir en vaso old fashioned"
French Martini,"citrico, clasico, martini","1) Agregar Vodka, Licor de frambuesa y Jugo de piña a un vaso mezclador.
2) Agregar hielo a gusto y revolver hasta enfriar bien.
3) Colar y servir en copa de coctel bien frio.","1) Agregar Vodka, Licor de frambuesa y Jugo de piña a un vaso mezclador
2) Agregar hielo a gusto y revolver hasta enfriar bien
3) Colar y servir en copa de coctel"
French Negroni,"clasico, gin, negroni, vino","1) Agregar Gin, Lillet y Vermut dulce a un vaso mezclador.
2) Agregar hielo a gusto y revolver hasta enfriar bien.
3) Colar y servir en copa martini bien frio.
4) Decorar con Cascara de naranja.","1) Agregar Gin, Lillet, Vermut dulce y Cascara de naranja a un vaso mezclador
2) Agregar hielo a gusto y revolver hasta enfriar bien
3) Colar y servir en copa martini"
Frisco Sour,"citrico, clasico, sour","1) Agregar Whisky mezclado, Benedictine, Limon y Lima a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en copa sour.
4) Decorar con Limon y Lima.","1) Agregar Whisky mezclado, Benedictine, Limon, Lima, Limon y Lima a una coctelera
2) Agregar hielo a gusto y agitar
3) Colar y servir en copa sour"
Frosé,"citrico, clasico, frutal","1) Agregar Azucar, Frutillas y Jugo de limon a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en copa de coctel.
4) Decorar con Rosa.","1) Agregar Rosa, Azucar, Frutillas y Jugo de limon a una coctelera
2) Agregar hielo a gusto y agitar
3) Colar y servir en copa de coctel"
Frozen Daiquiri,"citrico, clasico, tiki","1) Agregar Ron claro, Triple sec, Jugo de lima y Azucar a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en copa flauta.
4) Decorar con Cereza marrasquino.","1) Agregar Ron claro, Triple sec, Jugo de lima, Azucar, Cereza marrasquino y Hielo a una coctelera
2) Agregar hielo a gusto y agitar
3) Colar y servir en copa flauta"
Frozen Mint Daiquiri,"citrico, clasico, tiki","1) Agregar Ron claro, Jugo de lima, Menta y Azucar a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en vaso old fashioned.","1) Agregar Ron claro, Jugo de lima, Menta y Azucar a una coctelera
2) Agregar hielo a gusto y agitar
3) Colar y servir en vaso old fashioned"
Frozen Pineapple Daiquiri,"citrico, clasico, tiki","1) Agregar Ron claro, Pina, Jugo de lima y Azucar a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en copa de coctel.","1) Agregar Ron claro, Pina, Jugo de lima y Azucar a una coctelera
2) Agregar hielo a gusto y agitar
3) Colar y servir en copa de coctel"
Fruit Cooler,"citrico, clasico, frutal, refrescante","1) Llenar vaso highball con hielo.
2) Agregar Jugo de manzana, Frutillas, Azucar y Manzana.
3) Completar con Agua con gas y mezclar suavemente.
4) Decorar con Limon.","1) Agregar Jugo de manzana, Frutillas, Azucar, Limon, Manzana, Agua con gas y Hielo a una coctelera
2) Agregar hielo a gusto y agitar
3) Colar y servir en vaso highball"
Fruit Flip-Flop,"citrico, clasico, refrescante","1) Agregar Yogur y Jugo de frutas a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en vaso highball.","1) Agregar Yogur y Jugo de frutas a una coctelera
2) Agregar hielo a gusto y agitar
3) Colar y servir en vaso highball"
Fruit Shake,"citrico, clasico, refrescante","1) Agregar Yogur, Platano, Jugo de naranja y Fruta a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en vaso highball.","1) Agregar Yogur, Platano, Jugo de naranja, Fruta y Hielo a una coctelera
2) Agregar hielo a gusto y agitar
3) Colar y servir en vaso highball"
Funk and Soul,"citrico, clasico","1) Llenar vaso collins con hielo.
2) Agregar Ron, Nectar de damasco, Jugo de granada y Limon.
3) Completar con Agua con gas y mezclar suavemente.","1) Agregar Ron, Nectar de damasco, Jugo de granada, Limon y Agua con gas a una coctelera
2) Agregar hielo a gusto y agitar
3) Colar y servir en vaso collins"
Fuzzy Asshole,"cafe, clasico","1) Agregar Cafe y Schnapps de durazno a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en taza.","1) Agregar Cafe y Schnapps de durazno a una coctelera
2) Agregar hielo a gusto y agitar
3) Colar y servir en taza"
Gagliardo,"citrico, clasico","1) Agregar Vodka de durazno, Jugo de limon, Galliano y Jarabe de rosas a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en copa de coctel.","1) Agregar Vodka de durazno, Jugo de limon, Galliano y Jarabe de rosas a una coctelera
2) Agregar hielo a gusto y agitar
3) Colar y servir en copa de coctel"
Gancia Batido,"aperitivo, argentino, citrico, clasico, rapido","1) Agregar Gancia, Jugo de limon y Azucar a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en vaso bajo.","1) Agregar Gancia, Jugo de limon, Azucar y Hielo a una coctelera
2) Agregar hielo a gusto y agitar
3) Colar y servir en vaso bajo"
Garibaldi,"aperitivo, campari, citrico, italiano","1) Agregar Campari y Jugo de naranja a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en vaso highball.","1) Agregar Campari, Jugo de naranja y Hielo a una coctelera
2) Agregar hielo a gusto y agitar
3) Colar y servir en vaso highball"
GG,"clasico, gin","1) Llenar vaso collins con hielo.
2) Agregar Galliano.
3) Completar con Ginger ale y mezclar suavemente.","1) Agregar Galliano, Ginger ale y Hielo a una coctelera
2) Agregar hielo a gusto y agitar
3) Colar y servir en vaso collins"
